neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Justicia,40.4247153175374,-3.69863818770584,Entire home/apt,49,28,35,0.42,1,99
Centro,Embajadores,40.4134181798486,-3.70683844591936,Entire home/apt,80,5,18,0.3,1,188
Moncloa - Aravaca,Argüelles,40.4249202354475,-3.71344613171984,Entire home/apt,40,2,21,0.25,9,195
Moncloa - Aravaca,Casa de Campo,40.4310266945163,-3.72458616804393,Entire home/apt,55,2,3,0.13,9,334
Latina,Cármenes,40.4034095295952,-3.74084196863602,Private room,16,2,23,0.76,2,250
Moncloa - Aravaca,Argüelles,40.4234166657964,-3.71245624757205,Entire home/apt,90,2,43,0.87,9,90
Centro,Universidad,40.4220218748173,-3.70395410313643,Entire home/apt,60,3,1,0.03,1,283
Centro,Justicia,40.4201531349237,-3.69649824684006,Entire home/apt,100,4,31,0.43,1,232
Fuencarral - El Pardo,Peñagrande,40.4821847913873,-3.72568389885215,Private room,21,2,6,0.69,2,249
Arganzuela,Legazpi,40.391664907182,-3.68868546805161,Entire home/apt,100,3,7,0.08,3,365
Arganzuela,Legazpi,40.3911609756941,-3.68823383944343,Private room,45,2,15,0.19,3,360
Arganzuela,Legazpi,40.3898504631101,-3.69010778624065,Private room,23,2,66,0.78,3,331
Centro,Sol,40.4155245481368,-3.70345860017185,Entire home/apt,57,2,118,1.43,3,324
Centro,Embajadores,40.4092594680981,-3.70504922789835,Private room,20,6,3,0.05,1,311
Arganzuela,Palos de Moguer,40.4029856202125,-3.69181564797689,Private room,149,2,0,0,1,365
San Blas - Canillejas,Rejas,40.4450837816207,-3.59150124050939,Private room,29,1,100,1.48,1,323
Puente de Vallecas,San Diego,40.3879070009515,-3.66468854898358,Private room,290,1,0,0,1,365
Chamberí,Trafalgar,40.4360753725616,-3.70172664214336,Entire home/apt,90,3,29,0.49,4,322
Usera,Almendrales,40.3824124986853,-3.70333114837287,Entire home/apt,40,5,13,0.57,1,59
Centro,Embajadores,40.408206976109,-3.70246154499462,Private room,147,1,0,0,1,365
Centro,Justicia,40.4197781770494,-3.69729889336447,Entire home/apt,66,3,68,0.84,1,314
Centro,Universidad,40.4209608969993,-3.70428027913689,Entire home/apt,85,1,24,0.31,3,94
Arganzuela,Acacias,40.4007266778422,-3.70620313319987,Entire home/apt,60,2,16,0.22,9,316
Salamanca,Goya,40.4276106510041,-3.67604451881272,Entire home/apt,84,6,47,0.61,1,302
Centro,Embajadores,40.4119069241828,-3.70229442587092,Entire home/apt,50,2,170,2.3,9,334
Moncloa - Aravaca,Argüelles,40.4303336191194,-3.71779594275925,Entire home/apt,65,2,10,0.17,9,341
Centro,Palacio,40.4197109096354,-3.71255633041295,Private room,35,1,7,0.1,1,310
Centro,Justicia,40.4208001921457,-3.69877532651468,Entire home/apt,100,1,0,0,1,364
Centro,Universidad,40.4236453627478,-3.70889414593131,Entire home/apt,60,4,18,0.24,3,102
Centro,Universidad,40.4207422896769,-3.70368211919288,Entire home/apt,80,3,19,0.28,1,306
Centro,Cortes,40.4120346527149,-3.69704740097164,Entire home/apt,60,2,117,1.61,9,325
Chamberí,Arapiles,40.4335920684749,-3.70687262726408,Entire home/apt,145,3,10,0.43,11,250
Centro,Embajadores,40.4111922427678,-3.70469913404241,Entire home/apt,110,2,36,0.48,3,343
Centro,Sol,40.4150655303477,-3.70335798374101,Entire home/apt,100,3,3,0.14,11,192
Centro,Sol,40.4163740944257,-3.70305453459448,Entire home/apt,95,3,20,0.32,11,313
Centro,Cortes,40.4113872465647,-3.69408466547771,Entire home/apt,90,3,7,0.23,11,326
Centro,Embajadores,40.4074330598837,-3.69719418159687,Entire home/apt,59,3,33,0.55,1,161
Centro,Universidad,40.4279131648174,-3.70999287612184,Entire home/apt,102,3,16,0.24,11,331
Salamanca,Recoletos,40.4231516319146,-3.68278929620979,Entire home/apt,60,3,99,1.37,2,303
Retiro,Pacífico,40.4044689253236,-3.67697945764908,Entire home/apt,85,2,3,0.24,7,321
Centro,Embajadores,40.4086452392213,-3.70534467041477,Entire home/apt,50,2,159,2.2,1,347
Centro,Embajadores,40.4089360690116,-3.69766009230395,Entire home/apt,100,2,80,1.13,3,340
Centro,Palacio,40.4121762504786,-3.71369090921044,Entire home/apt,116,2,136,1.93,4,319
Centro,Justicia,40.4242179540665,-3.69538451311943,Private room,50,2,60,0.84,1,339
Centro,Universidad,40.4246179671856,-3.70352404568597,Private room,28,1,446,6.18,3,316
Tetuán,Cuatro Caminos,40.455589020671,-3.69421094637152,Private room,20,1,151,2.53,1,331
Puente de Vallecas,Palomeras Bajas,40.3831750356833,-3.65565121141364,Private room,23,3,64,0.9,4,341
Centro,Palacio,40.4199710346887,-3.70814992067207,Entire home/apt,75,2,4,0.06,7,316
Fuencarral - El Pardo,Valverde,40.5011589819946,-3.67118585798073,Entire home/apt,60,2,3,0.28,1,0
Centro,Justicia,40.4239615319929,-3.69769898785982,Private room,75,1,0,0,1,365
Centro,Embajadores,40.4085811564949,-3.70301256678494,Entire home/apt,65,3,32,0.75,5,334
Ciudad Lineal,Pueblo Nuevo,40.4333121502063,-3.64354963494093,Private room,35,1,0,0,1,365
Chamberí,Trafalgar,40.4315829011013,-3.70071056560181,Entire home/apt,195,1,7,0.1,14,291
Chamberí,Almagro,40.437605500153,-3.69801696008835,Entire home/apt,75,2,110,1.56,4,285
Centro,Embajadores,40.4089020686034,-3.6980471068085,Entire home/apt,55,2,26,0.36,1,310
Fuencarral - El Pardo,Pilar,40.4831278504268,-3.71016947713449,Private room,45,2,0,0,1,365
Centro,Universidad,40.4270744062287,-3.70698438031309,Entire home/apt,75,2,25,0.98,1,346
Chamberí,Rios Rosas,40.4382540442034,-3.69387578063071,Entire home/apt,75,2,59,0.88,4,299
Salamanca,Goya,40.4221223930746,-3.67840953784292,Entire home/apt,75,3,19,0.27,11,65
Centro,Embajadores,40.4074340571627,-3.69828203941684,Entire home/apt,57,3,292,4.09,1,256
Centro,Palacio,40.40957832064,-3.71042483145367,Entire home/apt,100,3,50,0.75,11,299
Centro,Palacio,40.4111235545254,-3.71025381552672,Private room,25,1,71,1.03,5,350
Centro,Universidad,40.4238138947861,-3.70570659303907,Private room,30,1,191,2.67,3,357
Centro,Embajadores,40.4112033472004,-3.70761685618334,Entire home/apt,41,1,356,5.07,5,301
Villa de Vallecas,Casco Histórico de Vallecas,40.3679434863228,-3.59927640760601,Private room,80,1,0,0,1,365
Centro,Cortes,40.4146644460567,-3.70161793790685,Entire home/apt,195,3,12,0.22,1,282
Centro,Embajadores,40.4128947812284,-3.70077969016466,Entire home/apt,50,2,142,2,9,318
Centro,Embajadores,40.4081471159105,-3.70253535862534,Private room,50,2,0,0,1,363
Centro,Justicia,40.4279980997535,-3.70042163023452,Entire home/apt,35,4,112,1.59,1,285
Villaverde,Los Angeles,40.3573543498922,-3.6963401775826,Private room,22,1,42,0.6,1,280
Salamanca,Castellana,40.4314582848269,-3.68387157282199,Entire home/apt,280,365,0,0,4,358
Centro,Palacio,40.4129914733089,-3.71127314186684,Private room,27,3,38,0.56,1,219
Carabanchel,Buenavista,40.372666066676,-3.72614863386651,Entire home/apt,70,3,4,0.18,2,328
Arganzuela,Acacias,40.4035919783509,-3.70727862836972,Private room,40,1,2,0.29,1,365
Centro,Embajadores,40.4067195747767,-3.7011594890189,Entire home/apt,100,2,3,0.27,8,72
Centro,Cortes,40.4149324801174,-3.70104727496215,Entire home/apt,69,3,23,0.43,8,272
Centro,Embajadores,40.4078050286737,-3.70325396556541,Entire home/apt,38,5,14,0.45,1,273
Usera,Pradolongo,40.3837551008884,-3.70629178453383,Private room,35,2,4,0.06,2,365
Centro,Embajadores,40.4129279560836,-3.70102551616879,Entire home/apt,70,28,25,0.41,1,32
Latina,Puerta del Angel,40.4091544103141,-3.72415837452119,Private room,20,2,39,0.57,9,347
Centro,Cortes,40.4151525330801,-3.70002733607849,Private room,20,2,57,0.83,9,341
Centro,Palacio,40.4215342847045,-3.70908662157118,Private room,32,3,210,3.11,2,244
Centro,Universidad,40.4248079613628,-3.70373717384697,Entire home/apt,90,4,183,2.76,4,153
Centro,Sol,40.4197692778907,-3.6999109520061,Entire home/apt,102,3,2,0.09,11,330
San Blas - Canillejas,Salvador,40.4457457941961,-3.63800799376905,Entire home/apt,75,3,7,0.13,11,338
Centro,Universidad,40.4214957611282,-3.70345137741085,Private room,28,1,20,0.35,5,348
Centro,Universidad,40.4234222115417,-3.7048737485507,Private room,28,1,156,2.48,5,347
Salamanca,Castellana,40.4318561312414,-3.68507405711391,Entire home/apt,450,7,0,0,4,0
Centro,Universidad,40.4276176961741,-3.70323098376527,Entire home/apt,75,5,6,0.1,28,65
Centro,Universidad,40.4290247941602,-3.70397798482265,Entire home/apt,75,5,4,0.06,28,156
Centro,Universidad,40.4244530970075,-3.70531958990479,Private room,21,1,24,0.35,5,281
Centro,Universidad,40.426226284573,-3.70461521897004,Private room,18,1,75,1.16,5,349
Chamberí,Trafalgar,40.4319997663168,-3.69919972942639,Private room,35,2,30,0.51,2,262
Centro,Justicia,40.4239670758264,-3.69463001047365,Entire home/apt,120,1,5,0.11,4,277
Centro,Justicia,40.4233893816095,-3.69475463488389,Private room,50,1,12,0.29,4,277
Centro,Justicia,40.4225872042363,-3.69394436384996,Private room,50,1,40,0.64,4,277
Centro,Justicia,40.4239626895527,-3.69545195156515,Entire home/apt,100,1,0,0,4,277
